,0
1998-06-09 00:00:00+00:00,1.2695763761796426e+18
1998-06-10 00:00:00+00:00,1.2695763761796426e+18
1998-06-11 00:00:00+00:00,1.2695763761796426e+18
1998-06-12 00:00:00+00:00,1.2695763761796426e+18
1998-06-15 00:00:00+00:00,1.2695763761796426e+18
1998-06-16 00:00:00+00:00,1.2695763761796426e+18
1998-06-17 00:00:00+00:00,1.2695763761796426e+18
1998-06-18 00:00:00+00:00,1.2695763761796426e+18
1998-06-19 00:00:00+00:00,1.2695763761796426e+18
1998-06-22 00:00:00+00:00,1.2773773407046828e+18
1998-06-23 00:00:00+00:00,1.2773773407046828e+18
1998-06-24 00:00:00+00:00,1.2773773407046828e+18
1998-06-25 00:00:00+00:00,1.2773773407046828e+18
1998-06-26 00:00:00+00:00,1.2773773407046828e+18
1998-06-29 00:00:00+00:00,1.280443200407374e+18
1998-06-30 00:00:00+00:00,1.280443200407374e+18
1998-07-01 00:00:00+00:00,1.280443200407374e+18
1998-07-02 00:00:00+00:00,1.280443200407374e+18
1998-07-06 00:00:00+00:00,1.280443200407374e+18
1998-07-07 00:00:00+00:00,1.280443200407374e+18
1998-07-08 00:00:00+00:00,1.280443200407374e+18
1998-07-09 00:00:00+00:00,1.280443200407374e+18
1998-07-10 00:00:00+00:00,1.280443200407374e+18
1998-07-13 00:00:00+00:00,1.280443200407374e+18
1998-07-14 00:00:00+00:00,1.280443200407374e+18
1998-07-15 00:00:00+00:00,1.280443200407374e+18
1998-07-16 00:00:00+00:00,1.280443200407374e+18
1998-07-17 00:00:00+00:00,1.280443200407374e+18
1998-07-20 00:00:00+00:00,1.280443200407374e+18
1998-07-21 00:00:00+00:00,1.280443200407374e+18
1998-07-22 00:00:00+00:00,1.2570403051425009e+18
1998-07-23 00:00:00+00:00,1.2570403051425009e+18
1998-07-24 00:00:00+00:00,1.2570403051425009e+18
1998-07-27 00:00:00+00:00,1.2570403051425009e+18
1998-07-28 00:00:00+00:00,1.2570403051425009e+18
1998-07-29 00:00:00+00:00,1.2570403051425009e+18
1998-07-30 00:00:00+00:00,1.2570403051425009e+18
1998-07-31 00:00:00+00:00,1.2570403051425009e+18
1998-08-03 00:00:00+00:00,1.2570403051425009e+18
1998-08-04 00:00:00+00:00,1.2570403051425009e+18
1998-08-05 00:00:00+00:00,1.2570403051425009e+18
1998-08-06 00:00:00+00:00,1.2570403051425009e+18
1998-08-07 00:00:00+00:00,1.2570403051425009e+18
1998-08-10 00:00:00+00:00,1.2570403051425009e+18
1998-08-11 00:00:00+00:00,1.2570403051425009e+18
1998-08-12 00:00:00+00:00,1.2570403051425009e+18
1998-08-13 00:00:00+00:00,1.2570403051425009e+18
1998-08-14 00:00:00+00:00,1.2570403051425009e+18
1998-08-17 00:00:00+00:00,1.2570403051425009e+18
1998-08-18 00:00:00+00:00,1.2570403051425009e+18
1998-08-19 00:00:00+00:00,1.2570403051425009e+18
1998-08-20 00:00:00+00:00,1.2492393405432038e+18
1998-08-21 00:00:00+00:00,1.2492393405432038e+18
1998-08-24 00:00:00+00:00,1.2492393405432038e+18
1998-08-25 00:00:00+00:00,1.2492393405432038e+18
1998-08-26 00:00:00+00:00,1.2492393405432038e+18
1998-08-27 00:00:00+00:00,1.2492393405432038e+18
1998-08-28 00:00:00+00:00,1.2492393405432038e+18
1998-08-31 00:00:00+00:00,1.2492393405432038e+18
1998-09-01 00:00:00+00:00,1.2492393405432038e+18
1998-09-02 00:00:00+00:00,1.2492393405432038e+18
1998-09-03 00:00:00+00:00,1.2492393405432038e+18
1998-09-04 00:00:00+00:00,1.2492393405432038e+18
1998-09-08 00:00:00+00:00,1.2492393405432038e+18
1998-09-09 00:00:00+00:00,1.2492393405432038e+18
1998-09-10 00:00:00+00:00,1.2492393405432038e+18
1998-09-11 00:00:00+00:00,1.2492393405432038e+18
1998-09-14 00:00:00+00:00,1.2492393405432038e+18
1998-09-15 00:00:00+00:00,1.2492393409602212e+18
1998-09-16 00:00:00+00:00,1.2492393409602212e+18
1998-09-17 00:00:00+00:00,1.2492393409602212e+18
1998-09-18 00:00:00+00:00,1.2492393409602212e+18
1998-09-21 00:00:00+00:00,1.2492393409602212e+18
1998-09-22 00:00:00+00:00,1.225836447392013e+18
1998-09-23 00:00:00+00:00,1.225836447392013e+18
1998-09-24 00:00:00+00:00,1.225836447392013e+18
1998-09-25 00:00:00+00:00,1.225836447392013e+18
1998-09-28 00:00:00+00:00,1.225836447392013e+18
1998-09-29 00:00:00+00:00,1.225836447392013e+18
1998-09-30 00:00:00+00:00,1.225836447392013e+18
1998-10-01 00:00:00+00:00,1.225836447392013e+18
1998-10-02 00:00:00+00:00,1.225836447392013e+18
1998-10-05 00:00:00+00:00,1.225836447392013e+18
1998-10-06 00:00:00+00:00,1.225836447392013e+18
1998-10-07 00:00:00+00:00,1.225836447392013e+18
1998-10-08 00:00:00+00:00,1.225836447392013e+18
1998-10-09 00:00:00+00:00,1.225836447392013e+18
1998-10-12 00:00:00+00:00,1.225836447392013e+18
1998-10-13 00:00:00+00:00,1.225836447392013e+18
1998-10-14 00:00:00+00:00,1.225836447392013e+18
1998-10-15 00:00:00+00:00,1.225836447392013e+18
1998-10-16 00:00:00+00:00,1.225836447392013e+18
1998-10-19 00:00:00+00:00,1.225836447392013e+18
1998-10-20 00:00:00+00:00,1.225836447392013e+18
1998-10-21 00:00:00+00:00,1.225836447392013e+18
1998-10-22 00:00:00+00:00,1.2570403056340877e+18
1998-10-23 00:00:00+00:00,1.2570403056340877e+18
1998-10-26 00:00:00+00:00,1.2570403056340877e+18
1998-10-27 00:00:00+00:00,1.2570403056340877e+18
1998-10-28 00:00:00+00:00,1.2570403056340877e+18
1998-10-29 00:00:00+00:00,1.2570403056340877e+18
1998-10-30 00:00:00+00:00,1.2570403056340877e+18
1998-11-02 00:00:00+00:00,1.2570403056340877e+18
1998-11-03 00:00:00+00:00,1.2570403056340877e+18
1998-11-04 00:00:00+00:00,1.259275543067072e+18
1998-11-05 00:00:00+00:00,1.259275543067072e+18
1998-11-06 00:00:00+00:00,1.259275543067072e+18
1998-11-09 00:00:00+00:00,1.259275543067072e+18
1998-11-10 00:00:00+00:00,1.259275543067072e+18
1998-11-11 00:00:00+00:00,1.259275543067072e+18
1998-11-12 00:00:00+00:00,1.259275543067072e+18
1998-11-13 00:00:00+00:00,1.259275543067072e+18
1998-11-16 00:00:00+00:00,1.251474578109498e+18
1998-11-17 00:00:00+00:00,1.251474578109498e+18
1998-11-18 00:00:00+00:00,1.251474578109498e+18
1998-11-19 00:00:00+00:00,1.2514745793807084e+18
1998-11-20 00:00:00+00:00,1.2514745793807084e+18
1998-11-23 00:00:00+00:00,1.2514745793807084e+18
1998-11-24 00:00:00+00:00,1.2514745793807084e+18
1998-11-25 00:00:00+00:00,1.2514745793807084e+18
1998-11-27 00:00:00+00:00,1.2514745793807084e+18
1998-11-30 00:00:00+00:00,1.2514745793807084e+18
1998-12-01 00:00:00+00:00,1.2514745793807084e+18
1998-12-02 00:00:00+00:00,1.2514745793807084e+18
1998-12-03 00:00:00+00:00,1.2514745793807084e+18
1998-12-04 00:00:00+00:00,1.2514745793807084e+18
1998-12-07 00:00:00+00:00,1.2514745793807084e+18
1998-12-08 00:00:00+00:00,1.2514745793807084e+18
1998-12-09 00:00:00+00:00,1.2514745793807084e+18
1998-12-10 00:00:00+00:00,1.2514745793807084e+18
1998-12-11 00:00:00+00:00,1.2514745793807084e+18
1998-12-14 00:00:00+00:00,1.2514745793807084e+18
1998-12-15 00:00:00+00:00,1.2514745793807084e+18
1998-12-16 00:00:00+00:00,1.2514745793807084e+18
1998-12-17 00:00:00+00:00,1.2514745793807084e+18
1998-12-18 00:00:00+00:00,1.235872648542065e+18
1998-12-21 00:00:00+00:00,1.235872648542065e+18
1998-12-22 00:00:00+00:00,1.235872648542065e+18
1998-12-23 00:00:00+00:00,1.235872648542065e+18
1998-12-24 00:00:00+00:00,1.235872648542065e+18
1998-12-28 00:00:00+00:00,1.235872648542065e+18
1998-12-29 00:00:00+00:00,1.2436736134996388e+18
1998-12-30 00:00:00+00:00,1.2436736134996388e+18
1998-12-31 00:00:00+00:00,1.2436736134996388e+18
1999-01-04 00:00:00+00:00,1.2436736134996388e+18
1999-01-05 00:00:00+00:00,1.2436736134996388e+18
1999-01-06 00:00:00+00:00,1.2436736134996388e+18
1999-01-07 00:00:00+00:00,1.2436736134996388e+18
1999-01-08 00:00:00+00:00,1.2436736134996388e+18
1999-01-11 00:00:00+00:00,1.2436736134996388e+18
1999-01-12 00:00:00+00:00,1.2436736134996388e+18
1999-01-13 00:00:00+00:00,1.2436736134996388e+18
1999-01-14 00:00:00+00:00,1.2436736134996388e+18
1999-01-15 00:00:00+00:00,1.2436736134996388e+18
1999-01-19 00:00:00+00:00,1.2436736134996388e+18
1999-01-20 00:00:00+00:00,1.290479403509243e+18
1999-01-21 00:00:00+00:00,1.290479403509243e+18
1999-01-22 00:00:00+00:00,1.290479403509243e+18
1999-01-25 00:00:00+00:00,1.290479403509243e+18
1999-01-26 00:00:00+00:00,1.290479403509243e+18
1999-01-27 00:00:00+00:00,1.290479403509243e+18
1999-01-28 00:00:00+00:00,1.290479403509243e+18
1999-01-29 00:00:00+00:00,1.290479403509243e+18
1999-02-01 00:00:00+00:00,1.290479403509243e+18
1999-02-02 00:00:00+00:00,1.290479403509243e+18
1999-02-03 00:00:00+00:00,1.290479403509243e+18
1999-02-04 00:00:00+00:00,1.290479404015896e+18
1999-02-05 00:00:00+00:00,1.2904794045278295e+18
1999-02-08 00:00:00+00:00,1.2904794045278295e+18
1999-02-09 00:00:00+00:00,1.2904794045278295e+18
1999-02-10 00:00:00+00:00,1.2904794045278295e+18
1999-02-11 00:00:00+00:00,1.2904794045278295e+18
